FILIAL;SECAO;DATA;CMV;VALOR ESTOQUE;;VL_ESTQ;CMV;TOTAL
1;421;01/04/2021;R$ 11.304,80;R$ 536.307,53;;;;
1;423;01/04/2021;R$ 17.909,25;R$ 166.340,07;;;;
1;432;01/04/2021;R$ 397,43;R$ 1.510,58;;;;
1;433;01/04/2021;R$ 38.242,75;R$ 150.929,19;;;;
2;412;01/04/2021;R$ 4.370,46;R$ 301.527,81;;;;
2;422;01/04/2021;R$ 135,41;R$ 9.064,05;;;;
2;425;01/04/2021;R$ 4.846,34;R$ 47.025,29;;;;
2;428;01/04/2021;R$ 5.224,19;R$ 55.842,22;;;;
2;440;01/04/2021;R$ 99,44;R$ 9.324,91;;;;
3;420;01/04/2021;R$ 4.870,92;R$ 169.624,98;;;;
3;436;01/04/2021;R$ 72.378,18;R$ 586.388,14;;;;
4;423;01/04/2021;R$ 13.928,17;R$ 133.819,71;;;;
4;427;01/04/2021;R$ 166,96;R$ 18.177,68;;;;
4;440;01/04/2021;R$ 1.089,50;R$ 8.194,66;;;;
4;442;01/04/2021;R$ 0;R$ 450,00;;;;
6;421;01/04/2021;R$ 5.692,60;R$ 483.886,20;;;;
7;416;01/04/2021;R$ 6.931,48;R$ 101.268,05;;;;
7;427;01/04/2021;R$ 301,09;R$ 9.557,08;;;;
7;442;01/04/2021;R$ 0;R$ 15,10;;;;
7;445;01/04/2021;R$ 764,53;R$ 25.785,10;;;;
8;420;01/04/2021;R$ 4.240,85;R$ 162.971,17;;;;
8;425;01/04/2021;R$ 8.006,10;R$ 56.414,98;;;;
8;436;01/04/2021;R$ 59.946,80;R$ 489.067,31;;;;
9;427;01/04/2021;R$ 230,94;R$ 19.852,41;;;;
9;428;01/04/2021;R$ 9.221,27;R$ 36.029,38;;;;
9;431;01/04/2021;R$ 10.643,44;R$ 90.766,36;;;;
9;432;01/04/2021;R$ 6,33;R$ 848,63;;;;
9;442;01/04/2021;R$ 0;R$ 0,00;;;;
9;445;01/04/2021;R$ 546,88;R$ 24.464,40;;;;
10;412;01/04/2021;R$ 7.097,76;R$ 345.802,15;;;;
11;414;01/04/2021;R$ 9.631,62;R$ 144.195,19;;;;
11;417;01/04/2021;R$ 0;R$ 1.568,28;;;;
11;433;01/04/2021;R$ 30.784,17;R$ 94.809,24;;;;
11;442;01/04/2021;R$ 0;R$ 0,00;;;;
11;444;01/04/2021;R$ 163,73;R$ 3.177,31;;;;
12;422;01/04/2021;R$ 98,32;R$ 7.806,89;;;;
14;416;01/04/2021;R$ 6.467,98;R$ 106.120,38;;;;
14;425;01/04/2021;R$ 5.387,54;R$ 51.533,60;;;;
14;427;01/04/2021;R$ 636,41;R$ 13.252,26;;;;
16;421;01/04/2021;R$ 12.149,52;R$ 452.955,59;;;;
16;422;01/04/2021;R$ 461,83;R$ 11.617,61;;;;
16;442;01/04/2021;R$ 0;R$ 0,00;;;;
17;422;01/04/2021;R$ 268,26;R$ 10.862,60;;;;
17;424;01/04/2021;R$ 5.775,86;R$ 96.434,52;;;;
18;424;01/04/2021;R$ 5.140,03;R$ 69.248,61;;;;
18;440;01/04/2021;R$ 1.658,31;R$ 8.330,40;;;;
18;445;01/04/2021;R$ 442,44;R$ 19.655,64;;;;
1;416;02/04/2021;R$ 3.648,05;R$ 107.551,25;;;;
1;420;02/04/2021;R$ 2.694,37;R$ 163.830,32;;;;
1;430;02/04/2021;R$ 0;R$ 109,08;;;;
1;441;02/04/2021;R$ 456,70;R$ 24.968,53;;;;
2;415;02/04/2021;R$ 1.569,64;R$ 101.828,61;;;;
2;427;02/04/2021;R$ 118,18;R$ 17.551,17;;;;
2;433;02/04/2021;R$ 12.553,72;R$ 117.052,84;;;;
2;435;02/04/2021;R$ 13.387,61;R$ 167.521,69;;;;
2;443;02/04/2021;R$ 940,36;R$ 57.894,13;;;;
3;414;02/04/2021;R$ 10.223,59;R$ 195.378,00;;;;
3;422;02/04/2021;R$ 363,08;R$ 8.246,43;;;;
3;426;02/04/2021;R$ 2.905,88;R$ 32.347,35;;;;
3;440;02/04/2021;R$ 3.744,70;R$ 14.167,59;;;;
4;413;02/04/2021;R$ 17.314,94;R$ 359.199,07;;;;
4;414;02/04/2021;R$ 4.018,30;R$ 132.181,17;;;;
4;422;02/04/2021;R$ 132,64;R$ 8.646,08;;;;
4;432;02/04/2021;R$ 103,53;R$ 1.546,72;;;;
4;435;02/04/2021;R$ 10.231,18;R$ 185.943,80;;;;
7;414;02/04/2021;R$ 6.870,60;R$ 136.479,11;;;;
7;440;02/04/2021;R$ 153,60;R$ 12.048,37;;;;
7;445;02/04/2021;R$ 475,95;R$ 25.506,21;;;;
8;417;02/04/2021;R$ 0;R$ 0,00;;;;
8;420;02/04/2021;R$ 2.684,86;R$ 170.117,74;;;;
8;425;02/04/2021;R$ 3.963,25;R$ 54.023,92;;;;
8;430;02/04/2021;R$ 0;R$ 0,00;;;;
9;414;02/04/2021;R$ 5.244,59;R$ 149.056,01;;;;
9;416;02/04/2021;R$ 2.779,24;R$ 129.914,75;;;;
9;421;02/04/2021;R$ 6.849,37;R$ 529.575,55;;;;
9;428;02/04/2021;R$ 7.026,55;R$ 29.909,55;;;;
9;435;02/04/2021;R$ 14.493,11;R$ 191.894,98;;;;
9;441;02/04/2021;R$ 182,50;R$ 30.171,78;;;;
9;442;02/04/2021;R$ 0;R$ 0,00;;;;
10;425;02/04/2021;R$ 2.123,32;R$ 69.245,06;;;;
10;427;02/04/2021;R$ 313,08;R$ 12.196,90;;;;
10;440;02/04/2021;R$ 1.368,24;R$ 11.089,26;;;;
10;443;02/04/2021;R$ 1.119,85;R$ 66.018,73;;;;
11;411;02/04/2021;R$ 18.696,24;R$ 337.261,43;;;;
11;432;02/04/2021;R$ 189,07;R$ 609,25;;;;
11;436;02/04/2021;R$ 23.307,97;R$ 542.613,20;;;;
12;412;02/04/2021;R$ 2.179,47;R$ 286.633,82;;;;
12;415;02/04/2021;R$ 1.740,65;R$ 84.683,04;;;;
12;423;02/04/2021;R$ 9.692,45;R$ 122.892,37;;;;
12;435;02/04/2021;R$ 18.738,90;R$ 141.932,98;;;;
12;436;02/04/2021;R$ 18.466,85;R$ 371.307,39;;;;
14;420;02/04/2021;R$ 3.216,72;R$ 112.958,50;;;;
14;425;02/04/2021;R$ 2.762,36;R$ 50.167,53;;;;
14;435;02/04/2021;R$ 28.013,49;R$ 202.174,68;;;;
14;444;02/04/2021;R$ 409,63;R$ 3.278,15;;;;
15;417;02/04/2021;R$ 0;R$ 2.683,93;;;;
15;421;02/04/2021;R$ 5.792,73;R$ 553.476,66;;;;
15;441;02/04/2021;R$ 161,26;R$ 19.164,73;;;;
16;414;02/04/2021;R$ 6.384,91;R$ 162.851,83;;;;
16;416;02/04/2021;R$ 3.762,85;R$ 133.830,55;;;;
16;433;02/04/2021;R$ 18.037,17;R$ 129.541,53;;;;
17;413;02/04/2021;R$ 15.514,34;R$ 335.003,69;;;;
17;436;02/04/2021;R$ 19.300,07;R$ 465.404,09;;;;
18;413;02/04/2021;R$ 17.026,37;R$ 259.611,95;;;;
18;436;02/04/2021;R$ 19.813,06;R$ 317.887,58;;;;
18;440;02/04/2021;R$ 1.068,10;R$ 8.897,17;;;;
1;443;03/04/2021;R$ 2.565,67;R$ 55.898,71;;;;
2;427;03/04/2021;R$ 261,60;R$ 17.604,27;;;;
2;442;03/04/2021;R$ 0;R$ 0,00;;;;
2;445;03/04/2021;R$ 1.032,27;R$ 24.336,24;;;;
3;411;03/04/2021;R$ 49.183,68;R$ 400.789,64;;;;
3;413;03/04/2021;R$ 52.999,95;R$ 488.770,39;;;;
3;441;03/04/2021;R$ 337,03;R$ 33.266,79;;;;
4;420;03/04/2021;R$ 2.057,39;R$ 99.208,97;;;;
