SECAO;COD;DESCRICAO
413;169142; APTAMIL PROFUTURA 1  ;
424;94674; AZ.OLIVA ESP.CARNB.EX;
413;92461; BALA FINI CAVEIR.100 ;
412;112015; BICO SUPER LILLO UN  ;
415;176319; BISC.PROT.BRAZO 30GR ;
412;106422; BUCHA PRADA 312      ;
440;34494; CACHEPOT PAPER       ;
984;108455; CAFETEIRA TRUDEAU UN ;
982;29270; CALCA BRIM FEM TAM 50;
800;22465; CARREGADOR P/BATERIA ;
443;17823; CELOFANE SORT.FLS    ;
414;15269; CESTA BASICA ITAMBE U;
436;129531; CR.CHEE.DAN.CEB/ALHO ;
435;28115; F.PAS.2UN GTS C.MOIDA;
435;6871; FILE MIGNON A.R.G    ;
440;32127; FLOR+BOMBOM          ;
800;34807; FLORICULTURA GRADE   ;
412;177797; FRALD.PAMP.SPLASH.M/G;
435;8695; FRALDINHA BEST BEEF  ;
445;123014; FUNBEEF DONUT.CAR.65G;
440;177295; HORTENCIA  AZUL UN   ;
436;19353; KIBE SAD.CAR.400GR   ;
443;125936; KIT B.FEST MENINO 12U;
445;35153; KIT2 SH.CAF.GTS COND.;
412;166975; LATA DAVENE EXOTIC UN;
412;107319; LOCAO HID.SKALA AVEIA;
424;26140; MAC.ITA.SCHAR SPAGHE ;
800;25177; MESA DE REPOSITOR UN ;
800;34012; MESA NOTA            ;
433;32730; PITAYA VERMELHA 400G ;
903;4225; PO CREME CONFEITEIRO ;
903;121158; POLPA SIM. MACA 4.3KG;
435;8659; RABADA ARGUS KG      ;
442;163807; REV.ALTERNATIVA N.07 ;
435;1788; RIM BOVINO PRECOCE KG;
412;176429; SAB.PALM.CARV.PACK6UN;
423;149540; SNACK QJO/PIMENTA SEC;
435;123477; SOBRECOXA CAIP.600GR ;
903;9645; SP TRUFA BRANCA(PADAR;
800;24131; SUVINIL 3,6L         ;
411;30993; TACA CERVEJA PATAGONI;
414;151899; TEMP.KOD.COMP.ALH.400;
421;146905; VHO CASINA ROSA 750ML;
800;34038; WINDOWS 10           ;
412;129521;*ABS.OB MD.COMF.10UN  ;
412;14281;*ABS.OB MEDIO 10UN    ;
412;120153;*ABS.OB MEDIO 20UN    ;
412;122284;*ABS.OB MEDIO 6UN     ;
412;122563;*ABS.OB MEDIO 6UN     ;
412;136025;*ABS.OB MEDIO PROM.   ;
412;137039;*ABS.OB MEDIO PROM.10U;
412;129520;*ABS.OB MINI COMF.10UN;
412;129523;*ABS.OB SUP.COMF.10UN ;
412;14283;*ABS.OB SUPER 10UN    ;
412;120152;*ABS.OB SUPER 20UN    ;
412;122564;*ABS.OB SUPER 6UN     ;
412;14278;*ABS.OB.MINI 10UN     ;
412;62937;*ADSTRING.NIVEA 200ML ;
412;78992;*AG.BRONZ.NIVEA FPS5  ;
412;138227;*ALICATE ENOX 691     ;
412;135214;*ALICATE ENOX 702     ;
412;73794;*ALICATE PRADA 652    ;
413;173782;*AMEND.LAM.LA VIOL.100;
413;124395;*AMEND.LAM.LA VIOL.120;
413;109232;*AMEND.MASTR.AZ.PER.1K;
413;109235;*AMEND.MASTR.BC.PER.1K;
412;80231;*AMOLEC.CUT.RISQ.8ML  ;
412;33540;*AMPOLA HIDR.L3P2     ;
412;175722;*AMPOLA HIDRATACAO    ;
412;175721;*AMPOLA NUTRICAO      ;
412;175720;*AMPOLA RESTAURACAO   ;
412;142945;*ANTISINAIS Q10 38GR  ;
412;142943;*ANTISINAIS Q10 50ML  ;
412;150629;*AP.GIL.BODY 1 UP UN  ;
412;144299;*AP.GIL.MACH3 +MINI UN;
412;149749;*AP.GIL.MACH3 AP.REG. ;
412;175845;*AP.GIL.MACH3 CHAMP.UN;
412;151992;*AP.GIL.MACH3 DESC. UN;
412;151993;*AP.GIL.MACH3 DESC. UN;
412;116036;*AP.GIL.MACH3 POWER UN;
412;139110;*AP.GIL.MACH3 PROM.   ;
412;155142;*AP.GIL.MACH3 PROM.   ;
412;124402;*AP.GIL.MACH3 REG. UN ;
412;173370;*AP.GIL.MACH3 REG. UN ;
412;173371;*AP.GIL.MACH3 REG. UN ;
412;153743;*AP.GIL.MACH3 REG.2UP ;
412;137610;*AP.GIL.MACH3 REG.PROM;
412;153742;*AP.GIL.MACH3 SENS.2UP;
412;130374;*AP.GIL.MACH3 SENS.UN ;
412;119952;*AP.GIL.MACH3 SILVE.UN;
412;105626;*AP.GIL.MACH3 T.GOL UN;
412;120648;*AP.GIL.MACH3 T.LEG.UN;
412;153744;*AP.GIL.MACH3 TURB.2UP;
412;99615;*AP.GIL.MACH3 TURBO UN;
412;114285;*AP.GIL.MACH3 VICT.UN ;
412;155223;*AP.GIL.PRESTO3 PROM. ;
412;152391;*AP.MACH3 RAZOR       ;
412;141688;*AP.PRESTO3 BOD.C/4 UN;
412;141605;*AP.PRESTO3 ICE C/4 UN;
412;153739;*AP.PRESTO3 SEN.C/2 UN;
412;153741;*AP.PRESTO3 SEN.C/4 UN;
412;69217;*AP.SENSOR COLOR UN   ;
412;10236;*AP.SENSOR EXCEL AZ.UN;
412;19896;*APAR GIL.GII UN      ;
412;142196;*APAR.FUSION PROG.UN  ;
412;142198;*APAR.FUSION REG.UN   ;
412;157336;*APAR.PROG.FLEX.UN    ;
412;155681;*APAR.VENUS DEP.BREEZE;
412;73784;*APONT.BELLIZ 557     ;
421;11286;*ASTI FONT.FREDA 750ML;
412;89254;*CERA VEET DEP.FR.6UN ;
412;124857;*CERA VEET DEP.PRIM.6U;
412;103640;*CERA VEET DEP.R.75ML ;
412;103641;*CERA VEET DEP.SEC.75M;
412;140210;*CERA VEET F.MEN 12UN ;
412;140213;*CERA VEET.DEP.OLEOS  ;
420;128263;*CHAMBORD 1L          ;
421;61405;*CHAMP.MILL.1993 750ML;
421;102603;*CHAMP.MOET BRUT 750ML;
421;24787;*CHAMP.MOET DEMI 750ML;
421;149672;*CHAMP.TAITTINGER 750M;
421;149673;*CHAMP.TAITTINGER 750M;
421;123981;*CHAMP.V.CLIC.BRUT 2TC;
421;29278;*CHAMP.VEUVE DEMI 750M;
413;12723;*CHICLE TRI.CAN.4UN   ;
413;118467;*CHICLE TRID.F.EUC.4UN;
413;100280;*CHICLE TRID.FRES.4UN ;
413;108631;*CHICLE TRID.HERB.4UN ;
413;12724;*CHICLE TRID.HOR.4UN  ;
413;111528;*CHICLE TRID.MELAN.4UN;
413;12722;*CHICLE TRID.MENTA 4UN;
413;28584;*CHICLE TRID.T.FR.4UN ;
413;131013;*CHICLE TRID.T.MIX 4UN;
423;65059;*CHOC LINDT PIST.100GR;
413;161130;*CHOC.ALPINO B.T 125GR;
413;27380;*CHOC.CLAS.LEITE 100GR;
413;82999;*CHOC.CLAS.LEITE 125GR;
423;129357;*CHOC.LINDT ASSOR.250G;
423;147102;*CHOC.LINDT CEREJA    ;
423;62449;*CHOC.LINDT CHER.100GR;
423;124306;*CHOC.LINDT CUBE 300GR;
423;142797;*CHOC.LINDT EGG 116GR ;
423;129346;*CHOC.LINDT GOLD.215GR;
423;127196;*CHOC.LINDT MARC 120GR;
423;125094;*CHOC.LINDT METAL 62GR;
423;147104;*CHOC.LINDT MORANGO   ;
423;129350;*CHOC.LINDT POUCH 250G;
423;129349;*CHOC.LINDT SNOW.50GR ;
423;129347;*CHOC.LINDT STA.50GR  ;
423;62452;*CHOC.LINDT STRAW.100G;
423;125095;*CHOC.LINDT TRIO 84GR ;
423;127195;*CHOC.LINDT TRUF.115GR;
413;25050;*CHOC.NESTLE 150GR    ;
413;25103;*CHOC.NESTLE 90GR     ;
412;72356;*CHUPETA DISNEY 804   ;
412;128994;*CHUPETA LILL.BAB.SIL.;
412;128993;*CHUPETA LILL.ORT.SIL.;
412;99658;*CHUPETA LILL.SIL.5811;
412;72344;*CHUPETA LILLO 9395   ;
412;72345;*CHUPETA LILLO STARS  ;
412;129060;*CHUPETA LILLO STARS  ;
412;72354;*CHUPETA SNOOPY 5251  ;
412;73776;*CJ.BELLIZ APLIC.507  ;
412;106428;*CJ.BELLIZ PINCEIS 510;
412;141017;*CJ.PRADA PENTES 347  ;
420;111053;*COGN.COURVOISIER 70ML;
420;138506;*COGNAC R.MARTIN 700ML;
412;82078;*COL.DAV.A.VERA 220ML ;
412;154894;*COND.AUSSIE MOIST 400;
412;157345;*COND.AUSSIE SMOOT.400;
412;118581;*COND.CLEAN NORM.300ML;
412;175985;*COND.H.SHOU.DETOX 170;
412;167379;*COND.H.SHOU.DETOX 200;
412;175986;*COND.H.SHOULD.ANT.170;
412;129788;*COND.H.SHOULD.ANT.200;
412;129251;*COND.H.SHOULD.HID.170;
412;175984;*COND.H.SHOULD.HID.170;
412;141690;*COND.H.SHOULD.P.Q.200;
412;129252;*COND.H.SHOULD.PRO.200;
412;129789;*COND.H.SHOULD.REV.200;
412;121261;*COND.HERBAL COL.HAPPY;
412;152695;*COND.HERBAL LONG TERM;
412;152699;*COND.HERBAL MOROCAN  ;
412;152701;*COND.HERBAL NAKED    ;
412;152703;*COND.HERBAL NAKED    ;
412;121259;*COND.HERBAL REFRESH. ;
412;121263;*COND.HERBAL STRAIGHT ;
412;152697;*COND.HERBAL TOUSLE   ;
412;121262;*COND.HERBAL TWISTED  ;
412;121264;*COND.HERBAL YOURS FR.;
412;156774;*COND.JF FULL REP.250M;
412;156772;*COND.JF LUSTROUS 250M;
412;157630;*COND.JF M.REPAIR 250M;
412;152635;*COND.SHOULD.A.F.200ML;
412;152389;*COND.SHOULD.A.F.400ML;
412;139805;*COND.SHOULD.ANT.400ML;
412;139803;*COND.SHOULD.HID.400ML;
412;139804;*COND.SHOULD.P.C.400ML;
412;139801;*COND.SHOULDERS L.R.40;
435;7419;*CONT.F.DO PATRAO KG  ;
435;4677;*CONT.F.LAS KG        ;
435;7725;*CONTRA FILE          ;
436;1503;*COPA FATIADA         ;
412;138243;*COREGA PO LC 22GR    ;
412;143457;*CR.D.AQUAFRESH 107,7G;
412;143458;*CR.D.AQUAFRESH 107,7G;
412;143456;*CR.D.AQUAFRESH 116GR ;
412;143454;*CR.D.AQUAFRESH 121,9G;
412;143455;*CR.D.AQUAFRESH 125GR ;
412;74796;*CR.D.COLG.SENS.100GR ;
412;121209;*CR.D.CREST CAV.REG.  ;
412;121208;*CR.D.CREST CLEAN MINT;
412;121212;*CR.D.CREST EX.WHITEN.;
412;121206;*CR.D.CREST SEN.ORIG. ;
412;121207;*CR.D.CREST TB KID´S  ;
412;121211;*CR.D.CREST YERB.FRESH;
412;143462;*CR.D.PARODONTAX 50GR ;
412;143463;*CR.D.PARODONTAX 50GR ;
412;30665;*CR.D.SENS.2UN.90GR   ;
412;156641;*CR.D.SENS.50GR.G.ESC ;
412;10329;*CR.D.SENS.BIC.50GR   ;
412;27916;*CR.D.SENS.BRANQ.50GR ;
412;129131;*CR.D.SENS.BRANQ.90GR ;
412;142531;*CR.D.SENS.BRANQ.PROM.;
412;149482;*CR.D.SENS.BRANQ.PROM.;
412;171047;*CR.D.SENS.BRANQ.PROM.;
412;129132;*CR.D.SENS.COOL GEL 90;
412;143924;*CR.D.SENS.ES.FRE.50GR;
412;143922;*CR.D.SENS.ES.FRE.90GR;
412;10340;*CR.D.SENS.F.MINT 50GR;
412;143468;*CR.D.SENS.F.MINT L3P2;
412;145540;*CR.D.SENS.GTS.ESC.   ;
412;66517;*CR.D.SENS.MULTPR.50GR;
412;129130;*CR.D.SENS.ORIG. 90GR ;
412;10316;*CR.D.SENS.ORIG.50GR  ;
412;129129;*CR.D.SENS.PROT.TOT.90;
412;148014;*CR.D.SENS.R.ALIV.50% ;
412;144699;*CR.D.SENS.R.ALIV.50GR;
412;129127;*CR.D.SENS.R.ALIV.66GR;
412;145726;*CR.D.SENS.R.ALIV.90GR;
412;136591;*CR.D.SENS.R.ALIV.PROM;
412;150286;*CR.D.SENS.R.ALIV.PROM;
412;129128;*CR.D.SENS.RAP.AL.100G;
412;149975;*CR.D.SENS.REP.P.W.100;
412;135939;*CR.D.SENS.REP.PR.100G;
412;90426;*CR.D.SENS.VITAM.50GR ;
412;111650;*CR.DENT.WELEDA INF.50;
412;161412;*CR.DENTAL ENZ.950 122;
412;160514;*CR.DERMO LOREAL 35+  ;
412;160515;*CR.DERMO LOREAL 45+  ;
412;160516;*CR.DERMO LOREAL 55+  ;
412;90693;*CR.JONH.P/ASSAD.50GR ;
412;100097;*CR.LOR.DESCONT.FPS15 ;
412;137805;*CR.LOR.REVIT.FPS20   ;
412;131464;*CR.LOR.REVIT.OLH.15ML;
412;110175;*CR.LOR.REVIT.OLH.5GR ;
412;101326;*CR.LOR.RUG.NOT.49GR  ;
412;94312;*CR.LOR.RUGAS DIU.49GR;
412;100098;*CR.LOR.RUGAS OLH.15GR;
412;108593;*CR.NEXCARE PES 120ML ;
412;107484;*CR.NIVEA BYE CEL.200M;
412;10427;*CR.NIVEA HID.49GR    ;
412;14500;*CR.NIVEA LT.56GR     ;
412;14560;*CR.NIVEA NUTRI.48GR  ;
412;131098;*CR.NIVEA P.NORMAL 50G;
412;131099;*CR.NIVEA P.SECA 50GR ;
412;71452;*CR.NIVEA POTE 97GR   ;
412;61461;*CR.NIVEA Q10 CONT.15G;
412;60976;*CR.NIVEA Q10 DIU.50GR;
412;65578;*CR.NIVEA Q10 NOT.50GR;
412;160870;*CR.NIVEA Q10 PER.40ML;
412;109197;*CR.NIVEA S.BEAUTY 49G;
412;118402;*CR.NIVEA SILHOUET.200;
412;14496;*CR.NIVEA SOF.POTE 49G;
412;145516;*CR.NIVEA TUBO 60ML   ;
412;116005;*CR.NIVEA VISAG.ACTION;
412;111010;*CR.NIVEA VISAG.DIU.50;
412;122111;*CR.NIVIA EXP.LIFT 15M;
412;122109;*CR.NIVIA EXP.LIFT 50M;
412;122110;*CR.NIVIA EXP.LIFT 50M;
412;88772;*CR.NIVIA HAND NUT.100;
412;88777;*CR.NIVIA Q10 HAND 75G;
412;154781;*CR.PANT.GOLD AMP.    ;
412;154782;*CR.PANT.HID.AMP      ;
412;175719;*CR.PANT.HID.AMP      ;
412;160362;*CR.PANT.KERAT.C/3UN  ;
412;127123;*CR.PANT.TRAT.15ML    ;
412;147803;*CR.PANT.TRAT.15ML    ;
412;153444;*CR.PANT.TRAT.15ML    ;
412;158334;*CR.PANT.TRAT.15ML    ;
412;127124;*CR.PANT.TRAT.3UN     ;
412;147804;*CR.PANT.TRAT.3UN     ;
412;147807;*CR.PANT.TRAT.3UN     ;
412;143191;*CR.PANT.TRAT.58ML    ;
412;142730;*CR.PANT.TRAT.DOUR.3UN;
412;149827;*CR.PANT.TRAT.GOLD 15M;
412;148424;*CR.PANT.TRAT.REJ.15ML;
412;75199;*CR.PLEN.AGE NOT.49GR ;
412;175788;*CR.REVIT HIA DIA.50GR;
412;177659;*CR.REVIT HIA F20 25GR;
412;175308;*CR.REVIT HIA NOT.50GR;
412;175789;*CR.REVIT HIA OLHOS 15;
412;154233;*CR.REVIT.BLUR 30ML   ;
412;125455;*CR.REVIT.CLAREADOR 50;
412;110171;*CR.REVIT.DIU.49GR    ;
412;110172;*CR.REVIT.LIFTING 30GR;
412;110174;*CR.REVIT.NOT.49GR    ;
412;162876;*CR.REVITALIFT X3 30M ;
412;145763;*CR.REVITALIFT X3 50M ;
412;149750;*CR.REVITALIFT X3 N.50;
412;134876;*CR.SHOUD.HIDRAT.155ML;
412;134878;*CR.SHOUD.QUEDA 155ML ;
412;154898;*CR.TRAT.AUSSIE 236ML ;
412;157347;*CR.TRAT.AUSSIE 236ML ;
412;157348;*CR.TRAT.AUSSIE 236ML ;
412;157349;*CR.TRAT.AUSSIE 236ML ;
412;162868;*CR.TRAT.AUSSIE L3P2  ;
412;162869;*CR.TRAT.AUSSIE L3P2  ;
412;162870;*CR.TRAT.AUSSIE L3P2  ;
412;140935;*CR.TRESEM.REC.3UN    ;
412;143580;*CR.TRESEM.SPLIT 3UN  ;
412;103645;*CR.VEET DEP.BIK.20ML ;
412;127954;*CR.VEET DEP.SEC.180M ;
412;113577;*CR.VEET DEP.SECA 100M;
412;140207;*CR.VEET F.MEN 180ML  ;
412;140208;*CR.VEET SHOWER 100ML ;
412;145380;*CR.VEET.DEP.400ML    ;
412;103643;*CR.VEET.DEP.DEL.100M ;
412;123772;*CR.VEET.DEP.DEL.40ML ;
412;123769;*CR.VEET.DEP.DELI.180M;
412;103644;*CR.VEET.DEP.DELIC.50M;
412;155742;*CR.VEET.DEP.NAT.100M ;
412;103642;*CR.VEET.DEP.NORM.100M;
412;111430;*CR.WELEDA AS.CAL.75ML;
436;177968;*CREME EMMETAL 250GR  ;
436;177969;*CREME Q.AZUL 250GR   ;
412;157587;*DEMAQ.LOR.A.MIC.200ML;
412;137529;*DEMAQ.LOR.BIF.130ML  ;
412;175790;*DEMAQ.LOR.BIFAS 200ML;
412;14698;*DEMAQ.NIVEA 125ML    ;
412;133643;*DES.GIL.COOL WAV.82GR;
412;111828;*DES.GIL.SER.W.R.82GR ;
412;174230;*DES.NIVEA B.CLEA.150M;
412;155229;*DES.NIVEA B.CLEA.PROM;
412;155230;*DES.NIVEA B.POW.PROM ;
412;127679;*DES.NIVEA CALM&CAR.50;
412;136463;*DES.NIVEA CLEAR 50ML ;
412;159412;*DES.NIVEA CLINIC.42GR;
412;159414;*DES.NIVEA CLINIC.42GR;
412;92012;*DES.NIVEA COOL.F.M.50;
412;155231;*DES.NIVEA D.COMF.PROM;
412;155232;*DES.NIVEA D.IMPA.PROM;
412;118418;*DES.NIVEA DOUB.EFF.50;
412;118473;*DES.NIVEA DRY 50ML   ;
412;63796;*DES.NIVEA DRY ROL.50M;
412;74662;*DES.NIVEA F.M.50ML   ;
412;141737;*DES.NIVEA F.M.50ML   ;
412;14389;*DES.NIVEA F.M.ROL.50M;
412;63635;*DES.NIVEA FRE.AER.93G;
412;141738;*DES.NIVEA IMPACT 50ML;
412;164349;*DES.NIVEA KIT AER.90G;
412;157754;*DES.NIVEA KIT ROLL   ;
412;157755;*DES.NIVEA KIT ROLL   ;
412;157756;*DES.NIVEA KIT ROLL   ;
412;157757;*DES.NIVEA KIT ROLL   ;
412;160283;*DES.NIVEA KIT ROLL   ;
412;172670;*DES.NIVEA KIT ROLL   ;
412;131526;*DES.NIVEA L3P2 50ML  ;
412;151957;*DES.NIVEA POW.50ML   ;
412;163324;*DES.NIVEA PROT.50ML  ;
412;154012;*DES.NIVEA PROT.C.50ML;
412;74663;*DES.NIVEA REG.50ML   ;
412;107632;*DES.NIVEA SENS.50ML  ;
412;136466;*DES.NIVEA SENS.50ML  ;
412;66821;*DES.NIVEA SENS.ROL.50;
412;144098;*DES.NIVEA STRES F.50M;
412;144097;*DES.NIVEA STRES M.50M;
412;110458;*DES.SPEED ACT.FR.40GR;
412;110366;*DES.SPEED ACT.FR.50ML;
412;18625;*DES.SPEED MUSK 45GR  ;
412;110459;*DES.SPEED SHOWER 40GR;
412;110367;*DES.SPEED SHOWER 50ML;
442;24938;*DVD A SAGA 19,80 UN  ;
442;139894;*DVD ALTERNATIVA 14,90;
442;139896;*DVD ALTERNATIVA 19,90;
442;139897;*DVD ALTERNATIVA 24,90;
442;139899;*DVD ALTERNATIVA 29,90;
442;139901;*DVD ALTERNATIVA 39,90;
442;136163;*DVDS ALTERNATIVA N.01;
442;136164;*DVDS ALTERNATIVA N.02;
411;24546;*ENERG.EDGE DRINK 269M;
411;149720;*ENERG.EDGE DRINK 269M;
411;123712;*ENERG.R.BULL 355ML   ;
411;140725;*ENERG.R.BULL 473ML   ;
411;132543;*ENERG.R.BULL FOUR PAC;
411;80238;*ENERG.R.BULL SUG.250M;
411;147366;*ENERG.R.HORSE 1L     ;
411;139485;*ENERG.R.HORSE 2L     ;
412;73797;*ESC.BELLIZ 751       ;
412;83336;*ESC.D.COLG.ELET.UN   ;
412;156678;*ESC.D.CURAPROX       ;
412;156677;*ESC.D.CURAPROX CSSMAR;
412;156676;*ESC.D.CURAPROX ORTHO ;
412;79537;*ESC.D.ELET.O-B.CROSS ;
412;107642;*ESC.D.ORAL-B PUL.35  ;
412;104461;*ESC.DENTAL COLG.MICR.;
412;88450;*ESFOL.LOR.P.ZONE 100G;
412;70983;*ESFOL.NIVEA 200ML    ;
412;73758;*ESPELHO PRADA 156    ;
411;123979;*ESPUM.CHAND.BRUT 2GF.;
436;7062;*FILE BAC.UNIAGRO KG  ;
435;7401;*FILE MIG.PREMIUM KG  ;
435;7390;*FILE MIG.S/CORDAO KG ;
435;6843;*FILE MIGNON          ;
435;3357;*FILE MIGNON 1953     ;
435;8496;*FILE MIGNON 1953     ;
435;3017;*FILE MIGNON ANGUS    ;
435;2044;*FILE MIGNON INTEIRO  ;
435;6945;*FILE MIGNON LAS.KG   ;
435;1011;*FILE MIGNON NOVILHO  ;
435;6981;*FILE MIGNON ORG.     ;
435;1293;*FILE MIGNON PECA KG  ;
435;9920;*FILE MIGNON VACUO    ;
412;14411;*FIX.KARINA FORT.200ML;
412;14413;*FIX.KARINA NOR.200ML ;
412;110326;*FLUIDO DAVENE ACNE 60;
412;110327;*FLUIDO DAVENE M.OL.60;
412;110328;*FLUIDO DAVENE N.SECA ;
412;102795;*FLUIDO Q10 NIVEA 50M ;
412;64979;*FORTAL.UNHAS RISQ.UN ;
435;6946;*FRALDINHA LAS.KG     ;
412;107483;*GEL CR.NIVEA 49GR    ;
412;112652;*GEL CR.NIVEA BRIL.75M;
412;81511;*GEL CR.NIVEA CON.75GR;
412;131100;*GEL CR.NIVEA PROT.50G;
412;69338;*GEL K-Y LUB.100GR    ;
412;97266;*GEL K-Y LUB.50GR     ;
412;137812;*GEL LOR.SECAT.15ML   ;
412;140830;*GEL NIVEA 5X1 150ML  ;
412;62868;*GEL NIVEA ESFOL.75ML ;
412;14550;*GEL NIVEA SUAVE 150ML;
412;136241;*GEL OX F.FORTE 170GR ;
412;69567;*GEL OX F.FORTE 240ML ;
412;136242;*GEL OX F.NORMAL 170GR;
412;102729;*GEL POS B.OX NOR.120M;
412;137649;*GEL POS B.OX SEN.110M;
412;102730;*GEL POS B.OX SENS.120;
412;119015;*GEL POS SOL T.MON.120;
412;22484;*GEL SATIN DEP.198GR  ;
412;94283;*GEL ST LINE RADIC.156;
412;13899;*GEL ST.LINE FORT.150G;
412;102068;*GEL ST.LINE FORTE 150;
412;14418;*GEL ST.LINE LIQ.150GR;
412;88336;*GEL ST.LINE LOOK 150G;
412;71470;*GEL ST.LINE NORM.150G;
412;94287;*GEL ST.LINE STRAI.150;
412;69334;*GEL SUND.POS SOL 130G;
412;106495;*GEL THAP.BRIL.MOL.150;
412;106498;*GEL THAP.FIX.EXT.150G;
412;106493;*GEL THAP.SPRAY FI.300;
420;74616;*GIN BEEFEATER 750ML  ;
420;169675;*GIN BEEFEATER PINK   ;
426;4070;*GOUDA REMBRANDT      ;
431;6163;*GRAN MESTRI GRA.CUNHA;
436;2974;*GRAN MESTRI GRANA    ;
431;2681;*GRAN MESTRI NERO KG  ;
420;155572;*GRANTS BLEND.KIT     ;
412;13989;*HIGIAPELE GLIC.100ML ;
436;132022;*JAMON P.NEGRA FAT.85G;
431;9076;*JAMON PATA NEGRA     ;
431;6767;*JAMON SERRANO C/OSSO ;
442;139030;*JOGOS VIDEOS EDUC.UN ;
442;139031;*JOGOS VIDEOS EDUC.UN ;
442;139041;*JOGOS VIDEOS EDUC.UN ;
420;147342;*KIT AMARULA VINTAGE  ;
412;66580;*KIT BIOCOL.DES.20GR  ;
412;116037;*KIT CARGA MACH3+APAR.;
442;391;*KIT CARTAO NATAL 10UN;
412;74858;*KIT CLEAN SAB.UN     ;
412;91923;*KIT CLEAN SAB.UN     ;
984;21838;*KIT DECO.MESA DEGUST.;
442;21777;*KIT DIA DAS MAES     ;
412;144190;*KIT DOVE CRE.GTS.SAB.;
412;144189;*KIT DOVE ESS.GTS.SAB.;
412;20566;*KIT GIL.DIA DOS PAIS ;
412;131050;*KIT GIL.MACH3 GTS.ESP;
412;114602;*KIT GIL.MACH3 GTS.NEC;
412;136677;*KIT GIL.MACH3 PROM.  ;
412;139109;*KIT GIL.MACH3 PROM.  ;
412;124600;*KIT GIL.MACH3+CAMISET;
412;139107;*KIT GIL.MACH3+DESOD. ;
412;148940;*KIT MACH3 GTS;CAMISET;
412;160182;*KIT MACH3 SENS+CG C3 ;
412;139496;*KIT NIVE.BYE CEL.200M;
412;129563;*KIT NIVEA Q10 PROMO  ;
420;128962;*KIT TEQUILA GTS.TACA ;
412;106502;*KIT THAP.BAT CARE UN ;
412;106504;*KIT THAP.P.S/NOR.UN  ;
421;144956;*KIT VHO ARG.B.N.TRIP.;
420;137043;*KIT WHISKY CUTTY SARK;
412;155435;*KIT.AP.MACH3+CG.MACH3;
441;155264;*LAMP.PHIL.LED CL.6,5W;
441;151731;*LAMP.PHIL.LED CL.8.5W;
412;14738;*LEITE LIMP.NIVEA 200M;
412;127678;*LEITE LIMP.NIVEA+TON.;
412;110135;*LEITE LIMP.P.AGE 200M;
412;157588;*LENCO LOREAL A.MIC.25;
412;139560;*LENCO LOREAL DEMAQ.25;
412;155235;*LENCO NIVEA 3X1 20UN ;
412;140828;*LENCO NIVEA 3X1 25UN ;
412;159411;*LENCO NIVEA 7UN      ;
412;155234;*LENCO NIVEA DEM.PROM.;
412;125033;*LENCO NIVEA SECA 25UN;
412;131097;*LENCO NIVEA VISA.25UN;
412;122117;*LENCO UMED.NIVEA 20UN;
