FILIAL;SECAO;DATA;TOTAL
1;413;01/04/2021;R$70469,43;
2;421;01/04/2021;R$18432,03;
2;424;01/04/2021;R$9592,29;
2;426;01/04/2021;R$2999,92;
2;430;01/04/2021;R$0;
2;440;01/04/2021;R$238,46;
2;444;01/04/2021;R$836,83;
3;425;01/04/2021;R$11407,51;
3;443;01/04/2021;R$6553,16;
4;412;01/04/2021;R$6589,42;
4;420;01/04/2021;R$2308,93;
4;422;01/04/2021;R$91,74;
4;425;01/04/2021;R$4394,69;
4;426;01/04/2021;R$2475,46;
4;433;01/04/2021;R$40871,86;
4;440;01/04/2021;R$2707,4;
4;444;01/04/2021;R$384,23;
7;412;01/04/2021;R$8932,12;
7;413;01/04/2021;R$73754,29;
7;428;01/04/2021;R$10085,57;
7;430;01/04/2021;R$0;
7;436;01/04/2021;R$91028,33;
7;442;01/04/2021;R$0;
7;444;01/04/2021;R$952,5;
8;425;01/04/2021;R$13470,11;
8;434;01/04/2021;R$17142,82;
8;444;01/04/2021;R$839,26;
9;412;01/04/2021;R$7775,78;
9;422;01/04/2021;R$488,75;
9;433;01/04/2021;R$58480,51;
9;440;01/04/2021;R$56,85;
9;444;01/04/2021;R$511,84;
10;417;01/04/2021;R$0;
10;442;01/04/2021;R$0;
11;411;01/04/2021;R$37782,84;
11;430;01/04/2021;R$0;
11;433;01/04/2021;R$48410,73;
11;434;01/04/2021;R$13517,95;
11;441;01/04/2021;R$749,96;
11;445;01/04/2021;R$1188;
12;436;01/04/2021;R$54747,89;
14;417;01/04/2021;R$0;
14;431;01/04/2021;R$22831,9;
14;444;01/04/2021;R$1048,52;
15;420;01/04/2021;R$4852,64;
15;425;01/04/2021;R$8836,11;
15;445;01/04/2021;R$552,08;
16;414;01/04/2021;R$17811,01;
16;417;01/04/2021;R$0;
16;428;01/04/2021;R$14719,61;
16;431;01/04/2021;R$21286,54;
16;441;01/04/2021;R$636,22;
17;414;01/04/2021;R$14966,41;
17;424;01/04/2021;R$10486,48;
17;427;01/04/2021;R$1083,68;
18;420;01/04/2021;R$3833,85;
18;436;01/04/2021;R$54423,88;
1;434;02/04/2021;R$11785,65;
1;436;02/04/2021;R$41831,65;
1;440;02/04/2021;R$4802,2;
1;442;02/04/2021;R$0;
2;422;02/04/2021;R$233,68;
2;423;02/04/2021;R$10618,88;
2;432;02/04/2021;R$-6,99;
2;433;02/04/2021;R$21871,57;
2;441;02/04/2021;R$586,56;
3;413;02/04/2021;R$54365,92;
3;442;02/04/2021;R$0;
4;421;02/04/2021;R$10357,04;
4;428;02/04/2021;R$7372,42;
4;433;02/04/2021;R$18752,47;
6;421;02/04/2021;R$0;
6;424;02/04/2021;R$0;
7;420;02/04/2021;R$2244,45;
7;427;02/04/2021;R$559;
7;434;02/04/2021;R$11261,05;
7;436;02/04/2021;R$49341,28;
7;440;02/04/2021;R$440;
7;441;02/04/2021;R$517,9;
8;431;02/04/2021;R$6755,57;
8;444;02/04/2021;R$775,27;
9;423;02/04/2021;R$13128,31;
9;430;02/04/2021;R$0;
10;411;02/04/2021;R$35214,91;
10;412;02/04/2021;R$6500,77;
10;417;02/04/2021;R$0;
10;428;02/04/2021;R$9414,89;
10;433;02/04/2021;R$28930,23;
10;443;02/04/2021;R$2399,6;
10;445;02/04/2021;R$661,53;
11;411;02/04/2021;R$24216,25;
11;412;02/04/2021;R$4937,31;
11;415;02/04/2021;R$3487,03;
11;423;02/04/2021;R$11843,42;
12;411;02/04/2021;R$21413,07;
12;430;02/04/2021;R$0;
12;443;02/04/2021;R$2061,27;
14;427;02/04/2021;R$1835,71;
14;434;02/04/2021;R$10944,48;
15;412;02/04/2021;R$3861,2;
15;414;02/04/2021;R$5963,3;
15;416;02/04/2021;R$4047,58;
16;412;02/04/2021;R$4834;
16;425;02/04/2021;R$4671,62;
16;428;02/04/2021;R$8529,65;
16;431;02/04/2021;R$8026,29;
17;416;02/04/2021;R$4209,14;
17;420;02/04/2021;R$4724,48;
17;425;02/04/2021;R$2775,23;
17;444;02/04/2021;R$273,85;
17;445;02/04/2021;R$331,15;
18;414;02/04/2021;R$8122,8;
18;415;02/04/2021;R$3270,21;
18;422;02/04/2021;R$117,76;
18;427;02/04/2021;R$392,28;
2;415;03/04/2021;R$4840,03;
2;435;03/04/2021;R$46119,88;
2;440;03/04/2021;R$2786,34;
3;423;03/04/2021;R$38340,78;
3;425;03/04/2021;R$5166,4;
3;445;03/04/2021;R$1522;
4;413;03/04/2021;R$42860,66;
4;415;03/04/2021;R$4251,08;
4;421;03/04/2021;R$11938,29;
4;424;03/04/2021;R$4538,43;
4;441;03/04/2021;R$594,91;
6;424;03/04/2021;R$0;
7;425;03/04/2021;R$5174,54;
7;431;03/04/2021;R$7271;
7;432;03/04/2021;R$354,48;
7;436;03/04/2021;R$75402,32;
8;411;03/04/2021;R$50130,18;
8;425;03/04/2021;R$7072,36;
8;431;03/04/2021;R$9738,4;
9;420;03/04/2021;R$4706,8;
9;427;03/04/2021;R$329,4;
9;433;03/04/2021;R$45137,66;
